year,month,day,freq
2019,5,22,680
2019,5,21,930
2019,4,30,1031
2019,6,14,787
2019,5,9,1150
2019,6,13,1005
2019,6,12,1232
2019,5,5,764
2019,5,7,986
2019,6,7,717
2019,6,27,863
2019,5,20,1428
2019,6,28,988
2019,6,3,786
2019,6,19,742
2019,6,4,675
2019,5,18,417
2019,5,23,857
2019,6,18,681
2019,5,10,941
2019,5,13,960
2019,6,16,369
2019,6,8,317
2019,5,30,1546
2019,6,22,497
2019,5,28,849
2019,6,25,884
2019,5,6,1318
2019,9,21,545
2019,10,7,1188
2019,11,17,524
2019,9,4,809
2019,9,9,830
2019,9,8,272
2019,10,2,645
2019,9,11,954
2019,9,10,803
2019,9,30,652
2019,9,5,1357
2019,9,27,849
2019,11,18,1201
2019,9,20,1754
2019,9,23,687
2019,9,19,1082
2019,8,30,710
2019,10,1,690
2019,9,6,1024
2019,9,24,1006
2019,9,17,689
2019,9,14,269
2019,11,7,2205
2019,10,5,758
2019,10,6,482
2019,9,26,1163
2019,8,29,676
2019,9,13,399
2019,9,16,973
2019,9,22,326
2019,9,15,440
2019,9,25,1320
2019,9,18,810
2019,9,12,1014
2019,9,2,968
2019,9,29,329
2019,9,3,881
2019,2,26,932
2019,2,24,346
2019,2,7,932
2019,2,1,1060
2019,3,15,1029
2019,3,5,903
2019,1,3,573
2019,3,8,1004
2019,3,3,670
2019,1,26,575
2019,1,11,576
2019,2,19,793
2019,2,13,1341
2019,3,13,823
2019,3,12,713
2019,1,23,719
2019,1,18,811
2019,2,8,652
2019,2,20,919
2019,1,7,482
2019,1,19,705
2019,1,24,799
2019,1,30,1154
2019,2,25,895
2019,1,14,867
2019,1,10,631
2019,1,25,731
2019,2,28,1258
2019,2,21,672
2019,1,4,553
2019,3,4,545
2019,1,28,847
2019,1,31,1013
2019,3,14,673
2019,2,5,1064
2019,2,4,1228
2019,3,11,679
2019,1,15,995
2019,3,1,2014
2019,2,14,1642
2019,2,27,861
2019,3,2,951
2019,2,15,766
2019,1,16,1025
2019,1,8,608
2019,1,12,601
2019,2,9,463
2019,2,11,1277
2019,1,13,492
2019,1,29,642
2019,1,22,704
2019,2,22,799
2019,3,10,693
2019,1,17,1057
2019,1,21,789
2019,1,5,371
2019,1,6,397
2019,4,7,351
2019,4,11,766
2019,4,14,548
2019,2,10,536
2019,4,15,965
2019,3,23,385
2019,3,22,706
2019,4,12,922
2019,3,29,2093
2019,4,13,357
2019,3,9,367
2019,2,12,1079
2019,4,1,931
2019,4,8,894
2019,3,30,527
2019,3,7,1108
2019,3,31,507
2019,2,16,484
2019,4,9,600
2019,4,4,2908
2019,3,25,668
2019,3,21,868
2019,4,10,795
2019,3,6,686
2019,3,19,846
2019,3,26,1022
2019,1,27,424
2019,4,2,1083
2019,2,6,1319
2019,4,6,417
2019,3,20,711
2019,4,5,662
2019,2,2,696
2019,2,3,662
2019,2,23,314
2019,7,22,1415
2019,7,21,1146
2019,7,6,552
2019,12,3,1328
2019,6,1,330
2019,7,1,737
2019,6,9,245
2019,6,10,660
2019,12,8,582
2019,2,18,1225
2019,1,9,937
2019,2,17,423
2019,1,20,559
2019,4,26,848
2019,5,2,800
2019,5,14,975
2019,4,20,408
2019,4,22,1123
2019,3,28,1671
2019,4,16,692
2019,4,24,1278
2019,5,24,739
2019,5,29,899
2019,4,25,1207
2019,5,4,406
2019,4,17,751
2019,4,21,325
2019,4,3,1384
2019,5,15,830
2019,4,29,818
2019,4,23,903
2019,3,27,808
2019,4,28,1236
2019,6,5,594
2019,4,27,297
2019,12,29,920
2019,12,28,475
2019,3,16,731
2019,3,18,607
2019,3,24,547
2019,3,17,424
2019,11,2,1014
2019,4,19,815
2019,4,18,926
2019,5,12,475
2019,5,26,346
2019,6,15,273
2019,7,13,1091
2019,6,23,291
2019,7,28,360
2019,7,24,1127
2019,7,26,1133
2019,5,19,441
2019,5,25,454
2019,5,27,638
2019,7,30,1201
2019,11,3,800
2019,7,31,775
2019,8,18,458
2019,9,7,335
2019,7,7,380
2019,7,14,427
2019,9,28,265
2019,8,1,797
2019,8,2,841
2019,8,24,405
2019,8,11,544
2019,8,17,364
2019,8,25,547
2019,8,4,404
2019,8,3,271
2019,5,11,439
2019,7,20,377
2019,8,31,446
